[SEND] parear
RESET
OK
ROLE=1
OK
CMODE=0
OK
INIT
OK
BIND=8818,56,6898EB
OK
PAIR=8818,56,6898EB,10
OK
LINK=8818,56,6898EB
OK
ATZ
>
ATSP5
>
30	-9	76	75	30	-1136.58	4	0	0	0
30	-9	76	75	30	-1188.09	5	0	0	0
30	76	76	75	30	0.00	6	1	0	0
30	78	78	75	30	0.00	7	1	0	0
30	78	78	75	30	0.00	8	1	0	0
30	78	78	75	30	0.00	9	1	0	0
30	78	78	75	30	0.00	10	1	1	1
20	78	77	75	30	0.61	10	1	1	1
20	78	64	75	30	9.09	10	1	1	1
20	78	47	75	32	0.00	10	1	1	1
20	78	32	75	35	0.00	10	1	1	1
23	78	18	75	39	0.00	10	1	1	1
24	78	17	75	42	0.00	10	1	1	1
24	78	29	75	45	0.00	10	1	1	1
24	78	27	75	48	0.00	10	1	1	1
24	78	26	75	51	0.00	10	1	1	1
24	78	27	75	54	0.00	10	1	1	1
24	78	27	75	58	0.00	10	1	1	1
24	78	27	75	61	0.00	10	1	1	1
24	78	27	75	64	0.00	10	1	1	1
24	78	29	75	67	0.00	10	1	1	1
25	78	29	75	70	0.00	10	1	1	1
27	78	30	75	72	0.00	10	1	1	1
27	78	40	75	75	0.00	10	1	1	1
27	78	43	75	77	0.00	10	1	1	1
27	78	47	75	79	0.00	10	1	1	1
20	78	49	75	80	0.00	10	1	1	1
20	78	32	75	83	0.00	10	1	1	1
20	78	18	75	87	0.00	10	1	1	1
20	78	10	75	90	0.00	10	1	1	1
21	78	8	75	90	0.00	10	1	1	1
20	78	17	75	90	0.00	10	1	1	1
20	78	24	75	90	0.00	10	1	1	1
20	78	24	75	90	0.00	10	1	1	1
20	78	11	75	90	0.00	10	1	1	1
20	78	9	75	90	0.00	10	1	1	1
20	78	8	75	90	0.00	10	1	1	1
20	78	7	75	90	0.00	10	1	1	1
24	78	7	75	90	0.00	10	1	1	1
20	78	20	75	90	0.00	10	1	1	1
20	78	20	75	90	0.00	10	1	1	1
26	78	20	75	90	0.00	10	1	1	1
24	78	34	75	90	0.00	10	1	1	1
24	78	49	75	90	0.00	10	1	1	1
20	78	61	75	90	0.00	10	1	1	1
22	78	44	75	90	0.00	10	1	1	1
61	78	36	75	90	0.00	10	1	1	1
20	78	102	75	88	0.00	10	1	1	1
20	78	86	75	88	-4.85	10	1	1	1
43	78	66	75	88	2.44	10	1	1	1
20	78	98	75	87	0.00	10	1	1	1
20	78	80	75	87	-1.21	10	1	1	1
22	78	61	75	88	0.00	10	1	1	1
23	78	58	75	89	0.00	10	1	1	1
20	78	58	75	90	0.00	10	1	1	1
29	78	44	75	90	0.00	10	1	1	1
28	78	41	75	90	0.00	10	1	1	1
59	78	45	75	90	0.00	10	1	1	1
60	78	102	75	88	0.00	10	1	1	1
20	78	108	75	86	0.00	10	1	1	1
21	78	86	75	86	-4.85	10	1	1	1
20	78	70	75	86	0.01	10	1	1	1
23	78	59	75	87	0.00	10	1	1	1
56	78	54	75	89	0.00	10	1	1	1
78	78	107	75	87	0.00	10	1	1	1
68	78	114	75	85	0.00	10	1	1	1
22	78	113	75	83	0.00	10	1	1	1
20	78	99	75	82	0.00	10	1	1	1
20	78	76	75	82	1.21	10	1	1	1
20	78	58	75	83	0.00	10	1	1	1
20	78	43	75	85	0.00	10	1	1	1
20	78	-9	75	90	0.00	10	1	1	1
20	78	-8	75	90	0.00	10	1	1	1
20	78	-8	75	90	0.00	10	1	1	1
20	78	-8	75	90	0.00	10	1	1	1
22	78	-9	75	90	0.00	10	1	1	1
22	78	-9	75	90	0.00	10	1	1	1
