369	55	30
411	64	31
369	55	32
308	43	33
303	42	34
304	42	35
303	42	36
304	42	37
304	42	38
304	42	39
304	42	40
303	42	41
304	42	42
303	42	43
303	42	44
304	42	45
303	42	46
304	42	47
303	42	48
304	42	49
351	52	50
347	51	51
349	51	52
355	53	53
354	52	54
359	53	55
320	46	56
317	45	57
322	46	58
326	47	59
333	48	60
339	49	61
344	50	62
349	51	63
356	53	64
360	54	65
366	55	66
372	56	67
376	57	68
379	57	69
387	59	70
394	61	71
398	61	72
402	62	73
409	64	74
414	65	75
418	65	76
424	67	77
430	68	78
434	69	79
475	77	80
476	77	81
478	77	82
478	77	83
474	77	84
463	74	85
462	74	86
471	76	87
477	77	88
481	78	89
488	79	90
494	81	91
498	81	92
502	82	93
510	84	94
517	85	95
525	87	96
528	88	97
534	89	98
538	90	99
544	91	100
549	92	101
551	92	102
558	94	103
562	94	104
569	96	105
578	98	106
582	98	107
601	102	108
606	103	109
610	104	110
615	105	111
615	105	112
614	105	113
622	106	114
625	107	115
634	109	116
640	110	117
647	111	118
652	112	119
655	113	120
663	115	121
668	116	122
674	117	123
680	118	124
684	119	125
692	121	126
703	123	127
711	124	128
714	125	129
719	126	130
731	128	131
739	130	132
743	131	133
745	131	134
755	133	135
758	134	136
759	134	137
767	136	138
779	138	139
782	139	140
787	140	141
797	142	142
801	142	143
804	143	144
816	146	145
818	146	146
820	146	147
827	148	148
833	149	149
836	150	150
842	151	151
849	152	152
853	153	153
860	154	154
865	155	155
873	157	156
874	157	157
879	158	158
864	155	159
874	157	160
887	160	161
864	155	162
880	158	163
909	164	164
914	165	165
920	166	166
922	167	167
923	167	168
933	169	169
935	169	170
938	170	171
943	171	172
952	173	173
954	173	174
956	174	175
957	174	175
963	175	174
963	175	173
963	175	172
963	175	171
963	175	170
963	175	169
963	175	168
963	175	167
963	175	166
963	175	165
963	175	164
963	175	163
963	175	162
963	175	161
963	175	160
963	175	159
963	175	158
963	175	157
963	175	156
962	175	155
963	175	154
961	175	153
956	174	152
955	173	151
948	172	150
941	171	149
938	170	148
933	169	147
926	168	146
923	167	145
921	167	144
918	166	143
909	164	142
895	161	141
880	158	140
891	161	139
873	157	138
869	156	137
880	158	136
875	157	135
873	157	134
872	157	133
863	155	132
858	154	131
853	153	130
849	152	129
846	152	128
837	150	127
834	149	126
829	148	125
819	146	124
817	146	123
805	143	122
802	143	121
799	142	120
795	141	119
784	139	118
771	136	117
766	135	116
757	134	115
759	134	114
751	132	113
