[SEND] sair
t: 0	 tv: 0	 rpm: 831	 v: 14	 vb: 1	 pwm: 20	 sum: -17.78
t: 0	 tv: 0	 rpm: 837	 v: 14	 vb: 1	 pwm: 20	 sum: -29.29
t: 0	 tv: 0	 rpm: 838	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 836	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 827	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 828	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 830	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 835	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 834	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 835	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 834	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 822	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 829	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 836	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 831	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 845	 v: 15	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 823	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 819	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 6	 tv: 0	 rpm: 1265	 v: 22	 vb: 1	 pwm: 20	 sum: 0.00
t: 10	 tv: 0	 rpm: 982	 v: 17	 vb: 1	 pwm: 20	 sum: 0.00
t: 8	 tv: 0	 rpm: 1209	 v: 21	 vb: 1	 pwm: 20	 sum: 0.00
t: 13	 tv: 0	 rpm: 1661	 v: 28	 vb: 1	 pwm: 20	 sum: 0.00
t: 2	 tv: 0	 rpm: 1827	 v: 31	 vb: 1	 pwm: 20	 sum: 0.00
t: 14	 tv: 0	 rpm: 1131	 v: 19	 vb: 1	 pwm: 20	 sum: 0.00
t: 22	 tv: 0	 rpm: 1463	 v: 25	 vb: 1	 pwm: 20	 sum: 0.00
t: 31	 tv: 0	 rpm: 1853	 v: 31	 vb: 1	 pwm: 20	 sum: 0.00
t: 40	 tv: 0	 rpm: 2298	 v: 39	 vb: 1	 pwm: 20	 sum: 0.00
t: 42	 tv: 0	 rpm: 2633	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 8	 tv: 0	 rpm: 2008	 v: 34	 vb: 1	 pwm: 20	 sum: 0.00
t: 46	 tv: 0	 rpm: 2034	 v: 34	 vb: 1	 pwm: 20	 sum: 0.00
t: 46	 tv: 0	 rpm: 2224	 v: 38	 vb: 1	 pwm: 20	 sum: 0.00
t: 46	 tv: 0	 rpm: 2428	 v: 41	 vb: 1	 pwm: 20	 sum: 0.00
t: 47	 tv: 0	 rpm: 2612	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 50	 tv: 0	 rpm: 2817	 v: 47	 vb: 1	 pwm: 20	 sum: 0.00
t: 52	 tv: 0	 rpm: 3007	 v: 51	 vb: 1	 pwm: 20	 sum: 0.00
t: 0	 tv: 0	 rpm: 2755	 v: 46	 vb: 1	 pwm: 20	 sum: 0.00
t: 55	 tv: 0	 rpm: 2393	 v: 40	 vb: 1	 pwm: 20	 sum: 0.00
t: 50	 tv: 0	 rpm: 2512	 v: 42	 vb: 1	 pwm: 20	 sum: 0.00
t: 49	 tv: 0	 rpm: 2620	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 51	 tv: 0	 rpm: 2778	 v: 47	 vb: 1	 pwm: 20	 sum: 0.00
t: 9	 tv: 0	 rpm: 2355	 v: 40	 vb: 1	 pwm: 20	 sum: 0.00
t: 33	 tv: 0	 rpm: 2420	 v: 41	 vb: 1	 pwm: 20	 sum: 0.00
t: 28	 tv: 0	 rpm: 2460	 v: 42	 vb: 1	 pwm: 20	 sum: 0.00
[SEND] 045
t: 21	 tv: 0	 rpm: 2453	 v: 41	 vb: 1	 pwm: 20	 sum: 0.00
t: 0	 tv: 45	 rpm: 2460	 v: 42	 vb: 1	 pwm: 26	 sum: 2.50
t: 0	 tv: 45	 rpm: 2443	 v: 41	 vb: 1	 pwm: 34	 sum: 5.76
t: 0	 tv: 45	 rpm: 2438	 v: 41	 vb: 1	 pwm: 42	 sum: 9.06
t: 4	 tv: 45	 rpm: 2423	 v: 41	 vb: 1	 pwm: 50	 sum: 12.37
t: 5	 tv: 45	 rpm: 2419	 v: 41	 vb: 1	 pwm: 58	 sum: 15.61
t: 9	 tv: 45	 rpm: 2431	 v: 41	 vb: 1	 pwm: 66	 sum: 18.80
t: 14	 tv: 45	 rpm: 2434	 v: 41	 vb: 1	 pwm: 74	 sum: 22.12
t: 15	 tv: 45	 rpm: 2463	 v: 42	 vb: 1	 pwm: 80	 sum: 24.60
t: 26	 tv: 45	 rpm: 2504	 v: 42	 vb: 1	 pwm: 86	 sum: 27.13
t: 29	 tv: 45	 rpm: 2561	 v: 43	 vb: 1	 pwm: 90	 sum: 28.77
t: 33	 tv: 45	 rpm: 2617	 v: 44	 vb: 1	 pwm: 90	 sum: 29.59
t: 36	 tv: 45	 rpm: 2678	 v: 45	 vb: 1	 pwm: 90	 sum: 29.59
t: 37	 tv: 45	 rpm: 2745	 v: 46	 vb: 1	 pwm: 88	 sum: 28.77
t: 37	 tv: 45	 rpm: 2794	 v: 47	 vb: 1	 pwm: 84	 sum: 27.15
t: 38	 tv: 45	 rpm: 2852	 v: 48	 vb: 1	 pwm: 78	 sum: 24.67
t: 38	 tv: 45	 rpm: 2908	 v: 49	 vb: 1	 pwm: 70	 sum: 21.42
t: 38	 tv: 45	 rpm: 2952	 v: 50	 vb: 1	 pwm: 60	 sum: 17.28
t: 38	 tv: 45	 rpm: 3014	 v: 51	 vb: 1	 pwm: 48	 sum: 12.31
t: 36	 tv: 45	 rpm: 3047	 v: 51	 vb: 1	 pwm: 36	 sum: 7.45
t: 27	 tv: 45	 rpm: 3056	 v: 51	 vb: 1	 pwm: 24	 sum: 2.61
t: 18	 tv: 45	 rpm: 3029	 v: 51	 vb: 1	 pwm: 20	 sum: -2.33
t: 8	 tv: 45	 rpm: 2998	 v: 50	 vb: 1	 pwm: 20	 sum: -6.38
t: 6	 tv: 45	 rpm: 2967	 v: 50	 vb: 1	 pwm: 20	 sum: -10.38
t: 6	 tv: 45	 rpm: 2930	 v: 49	 vb: 1	 pwm: 20	 sum: -13.70
t: 6	 tv: 45	 rpm: 2892	 v: 49	 vb: 1	 pwm: 20	 sum: -17.02
t: 6	 tv: 45	 rpm: 2859	 v: 48	 vb: 1	 pwm: 20	 sum: -19.49
t: 6	 tv: 45	 rpm: 2818	 v: 47	 vb: 1	 pwm: 20	 sum: -21.14
t: 6	 tv: 45	 rpm: 2794	 v: 47	 vb: 1	 pwm: 20	 sum: -22.79
t: 6	 tv: 45	 rpm: 2761	 v: 47	 vb: 1	 pwm: 20	 sum: -24.39
t: 6	 tv: 45	 rpm: 2761	 v: 47	 vb: 1	 pwm: 20	 sum: -25.60
t: 6	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -25.60
t: 6	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -25.60
t: 6	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -25.60
t: 6	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -25.60
t: 6	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 22	 sum: -25.00
t: 6	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 24	 sum: -24.39
t: 6	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 26	 sum: -23.78
t: 6	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 28	 sum: -23.18
t: 6	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 30	 sum: -22.57
t: 6	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 32	 sum: -21.96
t: 6	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 34	 sum: -21.36
t: 6	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 34	 sum: -21.36
t: 6	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 34	 sum: -21.36
t: 6	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 34	 sum: -21.36
t: 6	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 34	 sum: -21.36
t: 6	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 34	 sum: -21.36
t: 6	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 34	 sum: -21.36
t: 7	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 34	 sum: -21.36
t: 7	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 32	 sum: -21.90
t: 7	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 30	 sum: -22.50
t: 7	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 28	 sum: -23.11
t: 7	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 26	 sum: -23.72
t: 7	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 24	 sum: -24.26
t: 7	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 22	 sum: -24.86
t: 7	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -25.40
t: 7	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -26.01
t: 7	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -26.62
t: 6	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -27.22
t: 4	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -27.83
t: 4	 tv: 45	 rpm: 2816	 v: 47	 vb: 1	 pwm: 20	 sum: -29.04
t: 4	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -29.65
t: 4	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2678	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 22	 sum: -29.39
t: 4	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 24	 sum: -28.85
t: 4	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 26	 sum: -28.25
t: 4	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 28	 sum: -27.64
t: 4	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 30	 sum: -27.03
t: 4	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 32	 sum: -26.43
t: 4	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 36	 sum: -25.22
t: 4	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 40	 sum: -24.13
t: 4	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 44	 sum: -22.92
t: 4	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 48	 sum: -21.84
t: 5	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 52	 sum: -20.76
t: 6	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 56	 sum: -19.55
t: 9	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 60	 sum: -18.33
t: 12	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 64	 sum: -17.12
t: 14	 tv: 45	 rpm: 2496	 v: 42	 vb: 1	 pwm: 70	 sum: -15.30
t: 14	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 74	 sum: -14.09
t: 23	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 78	 sum: -12.88
t: 25	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 82	 sum: -11.67
t: 27	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 86	 sum: -10.45
t: 29	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 88	 sum: -9.85
t: 32	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 90	 sum: -9.24
t: 34	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 90	 sum: -9.24
t: 35	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 90	 sum: -9.24
t: 36	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 88	 sum: -9.85
t: 36	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 86	 sum: -10.45
t: 36	 tv: 45	 rpm: 2816	 v: 47	 vb: 1	 pwm: 82	 sum: -11.54
t: 37	 tv: 45	 rpm: 2880	 v: 49	 vb: 1	 pwm: 74	 sum: -13.96
t: 37	 tv: 45	 rpm: 2883	 v: 49	 vb: 1	 pwm: 66	 sum: -16.38
t: 37	 tv: 45	 rpm: 2944	 v: 50	 vb: 1	 pwm: 56	 sum: -19.41
t: 37	 tv: 45	 rpm: 2944	 v: 50	 vb: 1	 pwm: 46	 sum: -22.12
t: 32	 tv: 45	 rpm: 3008	 v: 51	 vb: 1	 pwm: 34	 sum: -25.75
t: 25	 tv: 45	 rpm: 3008	 v: 51	 vb: 1	 pwm: 22	 sum: -29.40
t: 16	 tv: 45	 rpm: 3008	 v: 51	 vb: 1	 pwm: 20	 sum: -30.00
t: 7	 tv: 45	 rpm: 3008	 v: 51	 vb: 1	 pwm: 20	 sum: -30.00
t: 6	 tv: 45	 rpm: 3008	 v: 51	 vb: 1	 pwm: 20	 sum: -30.00
t: 6	 tv: 45	 rpm: 2944	 v: 50	 vb: 1	 pwm: 20	 sum: -30.00
t: 6	 tv: 45	 rpm: 2944	 v: 50	 vb: 1	 pwm: 20	 sum: -30.00
t: 6	 tv: 45	 rpm: 2944	 v: 50	 vb: 1	 pwm: 20	 sum: -30.00
t: 6	 tv: 45	 rpm: 2944	 v: 50	 vb: 1	 pwm: 20	 sum: -30.00
t: 6	 tv: 45	 rpm: 2944	 v: 50	 vb: 1	 pwm: 20	 sum: -30.00
t: 6	 tv: 45	 rpm: 2880	 v: 49	 vb: 1	 pwm: 20	 sum: -30.00
t: 6	 tv: 45	 rpm: 2880	 v: 49	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2880	 v: 49	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2880	 v: 49	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2816	 v: 47	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2816	 v: 47	 vb: 1	 pwm: 20	 sum: -30.00
t: 4	 tv: 45	 rpm: 2816	 v: 47	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2816	 v: 47	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2816	 v: 47	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2816	 v: 47	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2816	 v: 47	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2741	 v: 46	 vb: 1	 pwm: 20	 sum: -30.00
t: 3	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 22	 sum: -29.39
t: 3	 tv: 45	 rpm: 2624	 v: 44	 vb: 1	 pwm: 24	 sum: -28.79
t: 3	 tv: 45	 rpm: 2560	 v: 43	 vb: 1	 pwm: 28	 sum: -27.58
t: 3	 tv: 45	 rpm: 2496	 v: 42	 vb: 1	 pwm: 34	 sum: -25.76
t: 3	 tv: 45	 rpm: 2496	 v: 42	 vb: 1	 pwm: 40	 sum: -23.94
t: 3	 tv: 45	 rpm: 2432	 v: 41	 vb: 1	 pwm: 48	 sum: -21.51
t: 4	 tv: 45	 rpm: 2368	 v: 40	 vb: 1	 pwm: 58	 sum: -18.48
t: 6	 tv: 45	 rpm: 2304	 v: 39	 vb: 1	 pwm: 70	 sum: -15.24
t: 13	 tv: 45	 rpm: 2304	 v: 39	 vb: 1	 pwm: 82	 sum: -11.60
t: 24	 tv: 45	 rpm: 2240	 v: 38	 vb: 1	 pwm: 90	 sum: -7.36
t: 32	 tv: 45	 rpm: 2240	 v: 38	 vb: 1	 pwm: 90	 sum: -3.57
t: 35	 tv: 45	 rpm: 2176	 v: 37	 vb: 1	 pwm: 90	 sum: 1.28
t: 37	 tv: 45	 rpm: 2240	 v: 38	 vb: 1	 pwm: 90	 sum: 5.52
t: 38	 tv: 45	 rpm: 2240	 v: 38	 vb: 1	 pwm: 90	 sum: 9.76
t: 38	 tv: 45	 rpm: 2240	 v: 38	 vb: 1	 pwm: 90	 sum: 14.01
t: 38	 tv: 45	 rpm: 2240	 v: 38	 vb: 1	 pwm: 90	 sum: 17.79
t: 39	 tv: 45	 rpm: 2240	 v: 38	 vb: 1	 pwm: 90	 sum: 22.04
t: 40	 tv: 45	 rpm: 2240	 v: 38	 vb: 1	 pwm: 90	 sum: 26.28
t: 40	 tv: 45	 rpm: 2240	 v: 38	 vb: 1	 pwm: 90	 sum: 30.00
