[SEND] sair
t: 33	 tv: 44	 rpm: 2727	 v: 46	 vb: 42	 pwm: 45	 sum: 19.71
t: 33	 tv: 44	 rpm: 2764	 v: 47	 vb: 42	 pwm: 45	 sum: 17.24
t: 26	 tv: 44	 rpm: 2794	 v: 47	 vb: 42	 pwm: 45	 sum: 14.75
t: 26	 tv: 44	 rpm: 2826	 v: 48	 vb: 42	 pwm: 40	 sum: 11.35
t: 26	 tv: 44	 rpm: 2856	 v: 48	 vb: 42	 pwm: 40	 sum: 8.15
t: 23	 tv: 44	 rpm: 2888	 v: 49	 vb: 42	 pwm: 40	 sum: 4.09
t: 23	 tv: 44	 rpm: 2908	 v: 49	 vb: 42	 pwm: 40	 sum: 0.07
t: 22	 tv: 44	 rpm: 2942	 v: 50	 vb: 42	 pwm: 40	 sum: -4.90
t: 22	 tv: 44	 rpm: 2965	 v: 50	 vb: 42	 pwm: 40	 sum: -9.87
t: 22	 tv: 44	 rpm: 2994	 v: 50	 vb: 42	 pwm: 40	 sum: -14.68
t: 22	 tv: 44	 rpm: 3020	 v: 51	 vb: 42	 pwm: 40	 sum: -20.45
t: 22	 tv: 44	 rpm: 3037	 v: 51	 vb: 42	 pwm: 40	 sum: -26.11
t: 22	 tv: 44	 rpm: 3059	 v: 51	 vb: 42	 pwm: 40	 sum: -30.00
t: 22	 tv: 44	 rpm: 3086	 v: 52	 vb: 42	 pwm: 20	 sum: -30.00
t: 22	 tv: 44	 rpm: 3059	 v: 51	 vb: 42	 pwm: 40	 sum: -30.00
t: 7	 tv: 44	 rpm: 3089	 v: 52	 vb: 42	 pwm: 20	 sum: -30.00
t: 7	 tv: 44	 rpm: 3058	 v: 51	 vb: 42	 pwm: 40	 sum: -30.00
t: 7	 tv: 44	 rpm: 3053	 v: 51	 vb: 42	 pwm: 40	 sum: -30.00
t: 7	 tv: 44	 rpm: 3044	 v: 51	 vb: 42	 pwm: 40	 sum: -30.00
t: 7	 tv: 44	 rpm: 3037	 v: 51	 vb: 42	 pwm: 40	 sum: -30.00
t: 7	 tv: 44	 rpm: 3015	 v: 51	 vb: 42	 pwm: 40	 sum: -30.00
t: 8	 tv: 44	 rpm: 3012	 v: 51	 vb: 42	 pwm: 40	 sum: -30.00
t: 8	 tv: 44	 rpm: 2993	 v: 50	 vb: 42	 pwm: 40	 sum: -30.00
t: 8	 tv: 44	 rpm: 2968	 v: 50	 vb: 42	 pwm: 40	 sum: -30.00
t: 8	 tv: 44	 rpm: 0	 v: 1	 vb: 42	 pwm: 90	 sum: 0.00
t: 8	 tv: 44	 rpm: 2944	 v: 50	 vb: 42	 pwm: 60	 sum: -3.64
t: 35	 tv: 44	 rpm: 2880	 v: 49	 vb: 42	 pwm: 40	 sum: -6.67
t: 35	 tv: 44	 rpm: 2944	 v: 50	 vb: 42	 pwm: 40	 sum: -10.31
t: 22	 tv: 44	 rpm: 2944	 v: 50	 vb: 42	 pwm: 40	 sum: -13.94
t: 22	 tv: 44	 rpm: 2944	 v: 50	 vb: 42	 pwm: 40	 sum: -17.58
t: 21	 tv: 44	 rpm: 2880	 v: 49	 vb: 42	 pwm: 40	 sum: -20.61
